wavelength_nm,irradiance_W_m2_nm
1419,1.738e-05
1420,8.008e-05
1421,0.0001233
1422,0.002376
1423,0.000415
1424,0.001073
1425,0.001085
1426,0.002116
1427,0.005381
1428,3.096e-05
1429,0.002758
1430,0.008611
1431,0.007829
1432,1.645e-05
1433,0.004431
1434,0.00203
1435,0.0008007
1436,0.003129
1437,0.002519
1438,0.0006823
1439,0.004781
1440,0.004275
1441,0.001968
1442,0.001813
1443,0.004137
1444,0.008326
1445,0.003974
1446,0.001165
1447,0.002654
1448,0.02745
1449,0.02165
1450,0.002357
1451,0.0006944
1452,0.008617
1453,0.01287
1454,0.04244
1455,0.01241
1456,0.01542
1457,0.02935
1458,0.04847
1459,0.05771
1460,0.02274
1461,0.01707
1462,0.03791
1463,0.007199
1464,0.05549
1465,0.03071
1466,0.009008
1467,0.003233
1468,0.0131
1469,0.02147
1470,0.003754
1471,0.001523
1472,0.003411
1473,0.01042
1474,0.02647
1475,0.07573
1476,0.01338
1477,0.01127
1478,0.0156
1479,0.0383
1480,0.009813
1481,0.03255
1482,0.01314
1483,0.05266
1484,0.05613
1485,0.04631
1486,0.03769
1487,0.01023
1488,0.02999
1489,0.0831
1490,0.08998
1491,0.1123
1492,0.0671
1493,0.08783
1494,0.1179
1495,0.09915
1496,0.08627
1497,0.1615
1498,0.1027
1499,0.1277
1500,0.1819
1501,0.1932
1502,0.1546
1503,0.1049
1504,0.08362
1505,0.1125
1506,0.2012
1507,0.192
1508,0.177
1509,0.1122
1510,0.2176
1511,0.2008
1512,0.2095
1513,0.17
1514,0.1501
1515,0.2172
1516,0.2047
1517,0.1871
1518,0.1939
1519,0.1787
1520,0.2066
1521,0.2385
1522,0.2148
1523,0.245
1524,0.2351
1525,0.2054
1526,0.2148
1527,0.2142
1528,0.2418
1529,0.2331
1530,0.2114
1531,0.2268
1532,0.2467
1533,0.2491
1534,0.2376
1535,0.2292
1536,0.2421
1537,0.2363
1538,0.2439
1539,0.2411
1540,0.2391
1541,0.2412
1542,0.2341
1543,0.2431
1544,0.2369
1545,0.2499
1546,0.2442
1547,0.2454
1548,0.2397
1549,0.2482
1550,0.2438
1551,0.2435
1552,0.24
1553,0.2453
1554,0.2383
1555,0.2421
1556,0.2376
1557,0.2449
1558,0.2431
1559,0.2425
1560,0.2399
1561,0.2441
1562,0.2401
1563,0.2399
1564,0.2361
1565,0.2421
1566,0.2364
1567,0.238
1568,0.2321
1569,0.2311
1570,0.2193
1571,0.2131
1572,0.2157
1573,0.2124
1574,0.219
1575,0.2176
1576,0.2233
1577,0.1963
1578,0.2138
1579,0.2136
1580,0.2223
1581,0.2259
1582,0.2196
1583,0.2224
1584,0.2265
1585,0.2349
1586,0.2302
1587,0.227
1588,0.2283
1589,0.2113
1590,0.2186
1591,0.2192
1592,0.2264
1593,0.2343
1594,0.2306
1595,0.2338
1596,0.2208
1597,0.221
1598,0.2305
1599,0.2194
1600,0.2167
1601,0.2025
1602,0.2022
1603,0.2038
1604,0.2078
1605,0.2156
1606,0.2196
1607,0.2121
1608,0.2078
1609,0.2065
1610,0.1977
1611,0.2057
1612,0.2101
1613,0.2147
1614,0.2165
1615,0.2193
1616,0.2094
1617,0.2122
1618,0.2217
1619,0.2175
1620,0.2136
1621,0.2134
1622,0.2162
1623,0.2207
1624,0.221
1625,0.2155
1626,0.2183
1627,0.2194
1628,0.2198
1629,0.22
1630,0.2155
1631,0.2167
1632,0.2151
1633,0.2104
1634,0.212
1635,0.2112
1636,0.2144
1637,0.2062
1638,0.2003
1639,0.1993
1640,0.1931
1641,0.2
1642,0.2
1643,0.1956
1644,0.2038
1645,0.1965
1646,0.1945
1647,0.2071
1648,0.1961
1649,0.1979
1650,0.2036
1651,0.1889
1652,0.1983
1653,0.2
1654,0.195
1655,0.2004
1656,0.1973
1657,0.1992
1658,0.2025
1659,0.2008
1660,0.2023
1661,0.2002
1662,0.1915
1663,0.2012
1664,0.1982
1665,0.1918
1666,0.157
1667,0.1911
1668,0.1957
1669,0.1888
1670,0.2004
1671,0.1969
1672,0.1901
1673,0.1957
1674,0.1939
1675,0.1921
1676,0.1871
1677,0.1895
1678,0.1842
1679,0.1927
1680,0.1847
1681,0.1767
1682,0.1854
1683,0.1893
1684,0.1713
1685,0.1941
1686,0.1903
1687,0.1808
1688,0.191
1689,0.1865
1690,0.1818
1691,0.1572
1692,0.1815
1693,0.1924
1694,0.1798
1695,0.1906
1696,0.1891
1697,0.1363
1698,0.1879
1699,0.1827
1700,0.1744
1702,0.1856
1705,0.1732
1710,0.1626
1715,0.1602
1720,0.1616
1725,0.1479
1730,0.1429
1735,0.1299
1740,0.1345
1745,0.1204
1750,0.1329
1755,0.1142
1760,0.1251
1765,0.0891
1770,0.09
1775,0.06192
1780,0.04847
1785,0.02768
1790,0.03733
1795,0.0077
1800,0.007144
1805,0.0005368
1810,0.0002633
1815,1.286e-05
1820,8.09e-07
1825,1.216e-06
1830,3.193e-11
1835,7.672e-12
1840,2.803e-14
1845,5.825e-13
1850,1.549e-13
1855,1.435e-13
1860,4.362e-10
1865,1.644e-10
1870,3.926e-20
1875,1.067e-19
1880,6.88e-09
1885,2.326e-09
1890,9.175e-09
1895,1.657e-08
1900,1.433e-12
1905,2.006e-12
1910,2.542e-10
1915,1.772e-09
1920,7e-08
1925,8.637e-07
1930,9.727e-07
1935,4.191e-05
1940,8.7e-05
1945,0.0007614
1950,0.002831
1955,0.0009474
1960,0.005413
1965,0.01042
1970,0.02508
1975,0.03506
1980,0.04628
1985,0.0552
1990,0.05352
1995,0.05597
2000,0.02728
2005,0.009097
2010,0.03462
2015,0.01904
2020,0.03459
2025,0.06138
2030,0.06671
2035,0.08386
2040,0.0749
2045,0.07789
2050,0.0598
2055,0.04724
2060,0.05837
2065,0.0538
2070,0.05638
2075,0.06897
2080,0.07678
2085,0.07557
2090,0.08084
2095,0.08034
2100,0.07287
2105,0.0853
2110,0.08015
2115,0.08356
2120,0.07695
2125,0.07952
2130,0.0816
2135,0.08248
2140,0.08417
2145,0.0831
2150,0.07383
2155,0.07466
2160,0.07488
2165,0.0669
2170,0.07412
2175,0.06972
2180,0.07403
2185,0.06105
2190,0.06964
2195,0.069
2200,0.06172
2205,0.06428
2210,0.07216
2215,0.06795
2220,0.07158
2225,0.06827
2230,0.07079
2235,0.06847
2240,0.06831
2245,0.06548
2250,0.06724
2255,0.06301
2260,0.06219
2265,0.06361
2270,0.06034
2275,0.05956
2280,0.06168
2285,0.05862
2290,0.05865
2295,0.05675
2300,0.05311
2305,0.05319
2310,0.05598
2315,0.05114
2320,0.04402
2325,0.04561
2330,0.04711
2335,0.05029
2340,0.03266
2345,0.04166
2350,0.03
2355,0.03666
2360,0.03963
