wavelength_nm,irradiance_W_m2_nm
1312,0.1745
1313,0.1505
1314,0.1342
1315,0.121
1316,0.1611
1317,0.1546
1318,0.1766
1319,0.1064
1320,0.1147
1321,0.1404
1322,0.1328
1323,0.08398
1324,0.1046
1325,0.1578
1326,0.1212
1327,0.1106
1328,0.09331
1329,0.05232
1330,0.07468
1331,0.03173
1332,0.03576
1333,0.05298
1334,0.05637
1335,0.08074
1336,0.05347
1337,0.04635
1338,0.04881
1339,0.05027
1340,0.05289
1341,0.04115
1342,0.03689
1343,0.01705
1344,0.01139
1345,0.01483
1346,0.002966
1347,0.002454
1348,2.853e-05
1349,0.0001414
1350,0.0001774
1351,8.323e-06
1352,1.563e-07
1353,1.922e-09
1354,2.898e-08
1355,3.131e-12
1356,9.982e-10
1357,1.383e-09
1358,4.472e-12
1359,1.182e-14
1360,5.282e-13
1361,4.402e-19
1362,1.62e-22
1363,5.82e-14
1364,7.025e-14
1365,4.364e-25
1366,6.605e-13
1367,1.737e-12
1368,4.921e-31
1369,3.014e-14
1370,2.739e-15
1371,4.291e-17
1372,1.244e-12
1373,1.804e-10
1374,3.992e-09
1375,3.136e-09
1376,2.991e-08
1377,1.138e-08
1378,8.892e-08
1379,5.805e-09
1380,2.096e-09
1381,4.718e-11
1382,6.607e-13
1383,7.067e-15
1384,1.462e-14
1385,5.436e-12
1386,1.513e-13
1387,6.562e-10
1388,7.828e-11
1389,2.37e-08
1390,1.349e-08
1391,1.055e-08
1392,9.434e-10
1393,9.023e-09
1394,1.677e-10
1395,6.893e-13
1396,2.069e-18
1397,2.125e-09
1398,7.059e-08
1399,5.604e-08
1400,8.928e-20
1401,7.498e-18
1402,3.004e-06
1403,1.943e-06
1404,3.834e-07
1405,8.565e-14
1406,3.456e-07
1407,1.894e-07
1408,3.588e-07
1409,2.891e-08
1410,1.342e-07
1411,2.039e-06
1412,5.35e-06
1413,0.0001967
1414,1.404e-07
1415,3.999e-08
1416,0.001269
1417,0.000181
1418,9.225e-05
1419,1.185e-05
1420,5.466e-05
1421,8.463e-05
1422,0.001644
1423,0.000287
1424,0.0007461
1425,0.0007506
1426,0.001473
1427,0.003748
1428,2.115e-05
1429,0.001913
1430,0.006018
1431,0.005463
1432,1.122e-05
1433,0.003086
1434,0.001411
1435,0.0005526
1436,0.002174
