wavelength_nm,transmittance
4086.56611,0.683293722932
4091.632026,0.678745105629
4096.442799,0.673199670527
4101.504823,0.668472080782
4106.564849,0.662412138761
4111.37002,0.656016505824
4116.42614,0.650094987362
4121.480254,0.649063180245
4126.53236,0.635558916593
4131.329997,0.64032643905
4136.378179,0.633660227126
4141.424344,0.635834121923
4146.468491,0.625231826707
4151.510617,0.616711830946
4156.298762,0.622581783654
4161.33694,0.611361070326
4166.37309,0.609790482799
4171.407209,0.606573488296
4176.439295,0.605881284985
4181.469345,0.602719500663
4186.246006,0.598175495586
4191.27208,0.596544597769
4196.296111,0.599834220397
4201.318097,0.577680123973
4206.338036,0.581748802659
4211.355924,0.591661534487
4216.37176,0.598884016991
4221.385541,0.572974898159
4226.397264,0.582526234073
4231.156493,0.57016046069
4236.164198,0.555780682908
4241.169837,0.544192349718
4246.17341,0.543244055265
4251.174913,0.540050742854
4256.174344,0.534875539289
4261.171701,0.520652167514
4266.16698,0.529620110954
4271.160181,0.505810476393
4276.1513,0.52438151857
4281.140334,0.504959434476
4286.127282,0.490565244188
4291.112141,0.486744902578
4296.094909,0.471099484532
4301.075583,0.452912825075
4306.05416,0.459803453389
4311.030639,0.453218983369
4316.25368,0.417658884628
4321.225849,0.422112640463
4326.195912,0.414453124621
4331.163866,0.413345896931
4336.129709,0.395277159993
4341.093439,0.388627917026
4346.055053,0.380543180059
4351.014549,0.366015522616
4355.971924,0.365315557558
4361.174883,0.353781549351
4366.127903,0.356691701792
4371.078795,0.35115657769
4376.027557,0.340417822007
4380.974186,0.339153616756
4385.91868,0.323713808405
4391.108098,0.3298031762
4396.048207,0.318681280393
4400.986174,0.320777447127
4405.921995,0.318743213578
4411.102297,0.317119157982
4416.033714,0.315384777439
4420.962978,0.311902965117
4425.890088,0.310052397222
4431.061231,0.315103308893
4435.983916,0.3146859442
4440.904439,0.315115502797
4445.822798,0.314681076659
4450.984742,0.317559171253
4455.898656,0.323883838076
4460.810399,0.324251115967
4465.965388,0.333448735873
4470.872671,0.334014478091
4475.777774,0.341711584639
4480.925785,0.347165705898
4485.826414,0.349427592261
4490.969722,0.359413361907
4495.865866,0.357680289695
4500.759819,0.359077610563
4505.896109,0.375012224185
4510.785563,0.378318614186
4515.917123,0.381743003151
4520.802068,0.378242760139
4525.684809,0.391753795713
4530.809313,0.392291912813
4535.687529,0.397291632492
4540.807277,0.400967589302
4545.68096,0.400154462598
4550.795941,0.400490765136
4555.665079,0.405516686464
4560.775284,0.402564421291
4565.639868,0.400144657817
4570.745285,0.410551831276
4575.605305,0.406844325227
4580.705925,0.405700582113
4585.804083,0.396665326023
4590.657181,0.402622945587
4595.750526,0.394853480598
4600.599035,0.392422167139
4605.687556,0.392895925244
4610.531466,0.394997004412
4615.615153,0.379005474956
4620.696359,0.380934146736
4625.533295,0.369829997563
4630.609652,0.371150347483
4635.68352,0.36493298532
4640.51346,0.35536797209
4645.582462,0.34943739255
4650.648968,0.345076843799
4655.471889,0.339775667944
4660.533513,0.326460364663
4665.592633,0.331512897954
4670.649247,0.313270120168
4675.462735,0.306061768965
4680.514446,0.297649922629
4685.563642,0.288719291322
4690.610319,0.277206155237
4695.414336,0.269580870509
4700.45609,0.258705011177
4705.495319,0.250839322962
4710.532019,0.23797628983
4715.566188,0.222195525887
4720.358279,0.217601151968
4725.387498,0.206315500805
4730.414179,0.197628029157
4735.438317,0.181603517173
4740.459911,0.16062406045
4745.478957,0.153140987935
4750.495454,0.149214243284
4755.509398,0.124070358798
4760.282207,0.10832399036
4765.291159,0.102763582271
4770.297551,0.0884258688234
4775.301379,0.0813461783829
4780.302642,0.068702496167
4785.301335,0.0578868588058
4790.297458,0.0423274698414
4795.291006,0.0370995719761
4800.281978,0.0310332025883
4805.27037,0.023842815531
4810.25618,0.0172475007926
4815.239406,0.0191122994695
4820.220044,0.0155226225952
4825.198092,0.0123500778229
4830.173547,0.00955328516972
4835.383144,0.00223150235292
4840.353282,0.000537127271885
4845.320819,0.0018267948101
4850.285752,0.00118800180526
4855.248078,0.00313024566845
4860.207796,0.00474365229069
4865.164903,0.00658481044572
4870.119395,0.00179811837155
4875.307008,0.00329467650986
4880.256139,0.00492462320705
4885.202647,0.00261601595075
4890.14653,0.00438906680868
4895.087786,0.00409552101444
4900.261518,0.0035145026444
4905.197385,0.00727032647354
4910.130615,0.00379912680058
4915.061208,0.00113171188516
4920.223758,0.00382292384649
4925.14894,0.00386106405891
4930.071475,0.00289232059421
4934.991361,0.00812975268303
4940.142683,0.00630716653135
4945.057136,0.00234384449024
4949.968933,0.000601839290145
4955.111771,0.00238592176359
4960.018118,0.00875276257123
4965.155242,0.000312435707425
4970.056129,0.00832595296548
4974.954345,0.000925969961411
4980.082942,0.000255105697079
4984.975682,0.0053111270419
4990.098536,0.00252843382732
4994.985787,0.0101088824816
5000.102887,0.0127123478712
